run	sample	donor_bp_bin	reads	detected	recall	ci_low	ci_high
.	pair3_genus_small_rep4	200-499	11	0	0.0	2.7755575615628914e-17	0.2588400172488141
.	pair3_genus_small_rep4	500-999	64	0	0.0	0.0	0.056626022971156334
.	pair3_genus_small_rep4	1000-1999	60	16	0.26666666666666666	0.17132496487078852	0.3900895360189135
.	pair3_genus_small_rep4	>=2000	138	138	1.0	0.9729162671599869	1.0
.	pair3_genus_small_rep5	1-199	9	0	0.0	0.0	0.2991527535509594
.	pair3_genus_small_rep5	200-499	8	0	0.0	0.0	0.3244156195108769
.	pair3_genus_small_rep5	500-999	60	0	0.0	0.0	0.06017393047793289
.	pair3_genus_small_rep5	1000-1999	65	22	0.3384615384615385	0.23533338768646592	0.4596185018686867
.	pair3_genus_small_rep5	>=2000	163	163	1.0	0.9769745674939582	0.9999999999999999
.	pair4_genus_large_rep1	1-199	7	0	0.0	0.0	0.35433884297520657
.	pair4_genus_large_rep1	200-499	6	0	0.0	0.0	0.3903430336530645
.	pair4_genus_large_rep1	500-999	61	0	0.0	0.0	0.05924591620194442
.	pair4_genus_large_rep1	1000-1999	71	20	0.28169014084507044	0.19036948911149792	0.3954223699615311
.	pair4_genus_large_rep1	>=2000	146	146	1.0	0.9743622598797664	1.0
.	pair4_genus_large_rep2	1-199	8	0	0.0	0.0	0.3244156195108769
.	pair4_genus_large_rep2	200-499	9	0	0.0	0.0	0.2991527535509594
.	pair4_genus_large_rep2	500-999	51	0	0.0	0.0	0.07004901388726806
.	pair4_genus_large_rep2	1000-1999	66	20	0.30303030303030304	0.20553868699544753	0.4221903455582168
.	pair4_genus_large_rep2	>=2000	158	158	1.0	0.9762632104477463	0.9999999999999999
.	pair4_genus_large_rep3	1-199	5	0	0.0	0.0	0.43449149475208104
.	pair4_genus_large_rep3	200-499	6	0	0.0	0.0	0.3903430336530645
.	pair4_genus_large_rep3	500-999	54	0	0.0	6.938893903907228e-18	0.06641586678100189
.	pair4_genus_large_rep3	1000-1999	59	17	0.288135593220339	0.1883634728582083	0.4138108829825087
.	pair4_genus_large_rep3	>=2000	156	156	1.0	0.9759662065444789	0.9999999999999999
.	pair4_genus_large_rep4	1-199	4	0	0.0	0.0	0.48990002040399916
.	pair4_genus_large_rep4	200-499	11	0	0.0	2.7755575615628914e-17	0.2588400172488141
.	pair4_genus_large_rep4	500-999	56	0	0.0	0.0	0.06419614448811528
.	pair4_genus_large_rep4	1000-1999	68	19	0.27941176470588236	0.18677805007008424	0.3956365954834669
.	pair4_genus_large_rep4	>=2000	171	171	1.0	0.978028112302793	1.0
.	pair4_genus_large_rep5	1-199	5	0	0.0	0.0	0.43449149475208104
.	pair4_genus_large_rep5	200-499	6	0	0.0	0.0	0.3903430336530645
.	pair4_genus_large_rep5	500-999	58	0	0.0	0.0	0.062119996895293766
.	pair4_genus_large_rep5	1000-1999	62	19	0.3064516129032258	0.20581430019850633	0.4296745093079456
.	pair4_genus_large_rep5	>=2000	148	148	1.0	0.9746999504747053	1.0
