arm	run	sample	event_id	insert_len	reads_available	reads_detected	read_recall_pct	detected
sweep	results.p3r1.mmf85	pair3_genus_small_rep1	pair3_genus_small_rep1_e1	500	56	0	0.0	no
sweep	results.p3r1.mmf85	pair3_genus_small_rep1	pair3_genus_small_rep1_e2	1000	58	0	0.0	no
sweep	results.p3r1.mmf85	pair3_genus_small_rep1	pair3_genus_small_rep1_e3	2000	57	0	0.0	no
sweep	results.p3r1.mmf85	pair3_genus_small_rep1	pair3_genus_small_rep1_e4	4000	53	37	69.81	yes
sweep	results.p3r1.mmf85	pair3_genus_small_rep1	pair3_genus_small_rep1_e5	8000	64	53	82.81	yes
sweep	results.p3r1.mmf95	pair3_genus_small_rep1	pair3_genus_small_rep1_e1	500	56	0	0.0	no
sweep	results.p3r1.mmf95	pair3_genus_small_rep1	pair3_genus_small_rep1_e2	1000	58	6	10.34	yes
sweep	results.p3r1.mmf95	pair3_genus_small_rep1	pair3_genus_small_rep1_e3	2000	57	53	92.98	yes
sweep	results.p3r1.mmf95	pair3_genus_small_rep1	pair3_genus_small_rep1_e4	4000	53	49	92.45	yes
sweep	results.p3r1.mmf95	pair3_genus_small_rep1	pair3_genus_small_rep1_e5	8000	64	60	93.75	yes
sweep	results.p4r1.mmf65	pair4_genus_large_rep1	pair4_genus_large_rep1_e1	500	50	0	0.0	no
sweep	results.p4r1.mmf65	pair4_genus_large_rep1	pair4_genus_large_rep1_e2	1000	59	0	0.0	no
sweep	results.p4r1.mmf65	pair4_genus_large_rep1	pair4_genus_large_rep1_e3	2000	55	0	0.0	no
sweep	results.p4r1.mmf65	pair4_genus_large_rep1	pair4_genus_large_rep1_e4	4000	51	0	0.0	no
sweep	results.p4r1.mmf65	pair4_genus_large_rep1	pair4_genus_large_rep1_e5	8000	69	44	63.77	yes
sweep	results.p4r1.mmf75	pair4_genus_large_rep1	pair4_genus_large_rep1_e1	500	50	0	0.0	no
sweep	results.p4r1.mmf75	pair4_genus_large_rep1	pair4_genus_large_rep1_e2	1000	59	0	0.0	no
sweep	results.p4r1.mmf75	pair4_genus_large_rep1	pair4_genus_large_rep1_e3	2000	55	0	0.0	no
sweep	results.p4r1.mmf75	pair4_genus_large_rep1	pair4_genus_large_rep1_e4	4000	51	0	0.0	no
sweep	results.p4r1.mmf75	pair4_genus_large_rep1	pair4_genus_large_rep1_e5	8000	69	48	69.57	yes
sweep	results.p4r1.mmf85	pair4_genus_large_rep1	pair4_genus_large_rep1_e1	500	50	0	0.0	no
sweep	results.p4r1.mmf85	pair4_genus_large_rep1	pair4_genus_large_rep1_e2	1000	59	0	0.0	no
sweep	results.p4r1.mmf85	pair4_genus_large_rep1	pair4_genus_large_rep1_e3	2000	55	0	0.0	no
sweep	results.p4r1.mmf85	pair4_genus_large_rep1	pair4_genus_large_rep1_e4	4000	51	39	76.47	yes
sweep	results.p4r1.mmf85	pair4_genus_large_rep1	pair4_genus_large_rep1_e5	8000	69	56	81.16	yes
sweep	results.p4r1.mmf95	pair4_genus_large_rep1	pair4_genus_large_rep1_e1	500	50	0	0.0	no
sweep	results.p4r1.mmf95	pair4_genus_large_rep1	pair4_genus_large_rep1_e2	1000	59	3	5.08	yes
sweep	results.p4r1.mmf95	pair4_genus_large_rep1	pair4_genus_large_rep1_e3	2000	55	50	90.91	yes
sweep	results.p4r1.mmf95	pair4_genus_large_rep1	pair4_genus_large_rep1_e4	4000	51	49	96.08	yes
sweep	results.p4r1.mmf95	pair4_genus_large_rep1	pair4_genus_large_rep1_e5	8000	69	64	92.75	yes
